"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,13017129,13017129,33.23693517590315
"hsa_executable_iterate_symbols",210,9403771,44779,24.010865002262626
"hsa_amd_agents_allow_access",18,4586850,254825,11.711709710458532
"hsa_amd_memory_pool_allocate",19,3943846,207570,10.069912793039457
"hsa_executable_symbol_get_info",39060,2639788,67,6.740231477626673
"hsa_amd_memory_async_copy",6,1538401,256400,3.928034692714851
"hsa_executable_load_agent_code_object",2,1409432,704716,3.598735175693774
"hsa_executable_freeze",2,944167,472083,2.4107633391531227
"hsa_agent_get_info",549,448394,816,1.144894723810751
"hsa_executable_destroy",1,443145,443145,1.131492331260265
"hsa_code_object_reader_create_from_memory",2,277756,138878,0.7092007897223845
"hsa_signal_wait_scacquire",9,130469,14496,0.3331295015563653
"hsa_isa_get_info_alt",16,87290,5455,0.22287956672355216
"hsa_executable_get_symbol_by_name",210,74064,352,0.18910931641440218
"hsa_signal_create",46,54261,1179,0.13854586057952414
"hsa_signal_store_screlease",2,47379,23689,0.12097389153162078
"hsa_amd_agent_iterate_memory_pools",11,32649,2968,0.08336344339508826
"hsa_executable_create_alt",2,20700,10350,0.05285378658698052
"hsa_iterate_agents",1,12990,12990,0.03316766607559792
"hsa_amd_pointer_info",24,11448,477,0.0292304419733214
"hsa_amd_agent_memory_pool_get_info",128,10595,82,0.027052457434254037
"hsa_amd_memory_pool_get_info",92,8814,95,0.022504989129354894
"hsa_signal_load_relaxed",49,6030,123,0.015396537831859543
"hsa_amd_memory_copy_engine_status",16,5612,350,0.01432924880802583
"hsa_system_get_info",17,2329,137,0.00594668932179119
"hsa_agent_iterate_isas",8,1590,198,0.00405978360740575
"hsa_queue_add_write_index_screlease",2,1531,765,0.0039091375490177376
"hsa_signal_destroy",2,1240,620,0.00316612054917178
"hsa_code_object_reader_destroy",1,980,980,0.0025022565630551164
"hsa_signal_silent_store_relaxed",7,579,82,0.0014783740306213392
"hsa_queue_load_read_index_relaxed",2,511,255,0.0013047480650215963
"hsa_queue_load_read_index_scacquire",2,409,204,0.0010443091166219822
"hsa_system_get_major_extension_table",1,390,390,0.0009957959791749953
"hsa_amd_profiling_set_profiler_enabled",1,110,110,0.00028086553258781916
"hsa_dispatch",1,0,0,0.0
