"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,12750627,12750627,30.059242793279623
"hsa_executable_iterate_symbols",210,8985224,42786,21.18241163889455
"hsa_amd_agents_allow_access",18,4644981,258054,10.950411430682646
"hsa_amd_memory_pool_allocate",19,3791425,199548,8.938177283949267
"hsa_signal_create",4110,3484251,847,8.214023260324948
"hsa_executable_symbol_get_info",39060,2522449,64,5.946602227848512
"hsa_agent_get_info",549,1736499,3163,4.0937473154290585
"hsa_amd_memory_async_copy",6,1570484,261747,3.70237164485801
"hsa_executable_load_agent_code_object",2,1520963,760481,3.5856272869243964
"hsa_executable_destroy",1,427658,427658,1.0081916484960602
"hsa_executable_freeze",2,299908,149954,0.7070246339765806
"hsa_code_object_reader_create_from_memory",2,269109,134554,0.6344168619203342
"hsa_isa_get_info_alt",16,91779,5736,0.21636639863470325
"hsa_signal_wait_scacquire",9,89119,9902,0.21009552381183189
"hsa_executable_get_symbol_by_name",210,70105,333,0.16527055618699127
"hsa_amd_profiling_async_copy_enable",1,38980,38980,0.09189424834418257
"hsa_amd_agent_iterate_memory_pools",11,31610,2873,0.07451968163570065
"hsa_executable_create_alt",2,22300,11150,0.05257161975565088
"hsa_iterate_agents",1,13020,13020,0.030694282027738766
"hsa_amd_agent_memory_pool_get_info",128,11820,92,0.02786531594223289
"hsa_amd_pointer_info",24,10560,440,0.02489490155245172
"hsa_amd_memory_pool_get_info",92,10260,111,0.02418766003107525
"hsa_amd_memory_copy_engine_status",16,6130,383,0.014451301753459189
"hsa_signal_load_relaxed",46,5201,113,0.012261210508930056
"hsa_system_get_info",17,2670,157,0.006294449540250577
"hsa_agent_iterate_isas",8,1570,196,0.003701230628536856
"hsa_signal_store_screlease",2,1520,760,0.0035833570416407778
"hsa_amd_profiling_get_dispatch_time",2,1200,600,0.002828966085505877
"hsa_amd_profiling_get_async_copy_time",6,1080,180,0.0025460694769552893
"hsa_code_object_reader_destroy",1,1080,1080,0.0025460694769552893
"hsa_signal_destroy",2,900,450,0.002121724564129408
"hsa_queue_load_read_index_relaxed",2,891,445,0.0021005073184881136
"hsa_queue_add_write_index_screlease",2,880,440,0.0020745751293709765
"hsa_signal_silent_store_relaxed",8,711,88,0.0016761624056622322
"hsa_amd_profiling_set_profiler_enabled",1,550,550,0.0012966094558568603
"hsa_system_get_major_extension_table",1,410,410,0.0009665634125478413
"hsa_queue_load_read_index_scacquire",2,400,200,0.0009429886951686258
