"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpyWithStream",6,255016993,42502832,93.3057282643331
"hipLaunchKernel",1,18002916,18002916,6.586914732625738
"hipMalloc",1,153709,153709,0.05623911574309237
"hipModuleLoad",24,89660,3735,0.032804839778579405
"hipGetDevicePropertiesR0600",8,18051,2256,0.006604507727449664
"hipGetDevice",48,8651,180,0.0031652316409155746
"hipStreamIsCapturing",1,8040,8040,0.002941678695290859
"hipDevicePrimaryCtxGetState",24,6200,258,0.002268458695373548
"hipSetDevice",12,4250,354,0.0015549918476350933
"hipGetDeviceCount",5,1700,340,0.0006219967390540374
"__hipPushCallConfiguration",1,1260,1260,0.000461009347769463
"hipGetLastError",2,790,395,0.00028904554344275855
"__hipPopCallConfiguration",1,750,750,0.0002744103260532518
"hipDeviceGetStreamPriorityRange",1,360,360,0.00013171695650556086
